time,ax,ay,az,aT
4.3850,1.9063,2.6940,-0.0240,3.300
4.3950,1.9208,3.1151,0.2838,3.671
4.4070,1.8372,3.4490,0.5566,3.947
4.4180,1.9508,3.6376,0.9132,4.228
4.4280,2.2197,3.8118,1.2267,4.578
4.4630,2.7888,3.8244,1.6947,5.027
4.4650,3.2756,3.8319,2.2370,5.515
4.4650,3.9165,3.9683,2.7585,6.221
4.4770,4.6483,4.1160,3.2894,7.026
4.4900,5.4690,4.4206,3.8990,8.041
4.4950,6.0951,4.7799,4.4755,8.946
4.5010,6.5808,5.2618,4.9493,9.772
4.5050,6.9418,5.6535,5.1686,10.338
4.5210,7.2887,5.9574,5.4074,10.856
4.5270,7.5455,6.0074,5.4867,11.096
4.5440,7.7392,5.9705,5.4183,11.176
4.5520,8.0408,5.7493,5.3985,11.263
4.5610,8.1246,5.2816,5.5149,11.150
4.5930,7.8765,4.8595,5.5147,10.773
4.5950,7.3270,4.5312,5.4015,10.168
4.5960,6.6035,4.2115,5.2475,9.428
4.5980,5.7729,4.1426,4.8676,8.613
4.6090,5.1125,4.0502,4.7654,8.078
4.6170,4.8937,3.8410,4.6600,7.773
4.6270,5.0413,3.3544,4.7146,7.674
4.6360,5.5591,2.5947,4.5538,7.640
4.6460,6.1729,1.6663,4.4353,7.782
4.6630,6.7915,0.7267,4.4283,8.140
4.6680,7.2641,-0.2515,4.4233,8.509
4.6750,7.6121,-1.0073,4.3463,8.823
4.6870,7.7710,-1.8006,4.1535,8.993
4.7030,7.6589,-2.4084,4.0433,8.989
4.7110,7.4277,-2.9294,3.9652,8.915
4.7590,7.0705,-3.3724,3.8444,8.726
4.7660,6.5509,-3.4790,3.8160,8.341
4.7690,5.7549,-3.4481,3.6427,7.634
4.7710,4.9391,-3.3100,3.6042,6.953
4.7720,4.0103,-3.2238,3.5422,6.247
4.7740,3.1852,-3.1152,3.3509,5.575
4.7800,2.5930,-3.0359,2.7694,4.859
4.7870,2.1336,-3.0683,2.1761,4.325
4.7940,1.7361,-3.1977,1.5826,3.968
4.8070,1.3737,-3.4568,0.8678,3.820
4.8190,1.0523,-3.6400,0.2949,3.800
4.8260,0.7436,-3.7013,-0.0750,3.776
4.8370,0.6518,-3.8243,-0.2976,3.891
4.8460,0.5508,-4.0940,-0.4525,4.156
4.8610,0.6107,-4.6522,-0.5867,4.729
4.8880,0.7609,-5.2123,-1.0045,5.362
4.8900,0.9174,-5.7503,-1.5967,6.038
4.8910,0.9282,-6.3787,-2.1180,6.785
4.8950,0.7182,-6.8813,-2.5642,7.379
4.9150,0.5682,-7.2377,-3.1064,7.897
4.9210,0.3842,-7.5497,-3.6184,8.381
4.9270,0.0871,-8.0076,-4.0298,8.965
4.9390,-0.1405,-8.3424,-4.1510,9.319
4.9540,-0.4490,-8.5197,-4.2184,9.517
4.9660,-0.8308,-8.6048,-4.0988,9.567
4.9760,-1.2074,-8.5570,-4.0175,9.530
4.9790,-1.5121,-8.5316,-4.0638,9.570
4.9900,-1.6454,-8.5914,-4.0997,9.661
5.0040,-1.6673,-8.6778,-4.0823,9.734
5.0080,-1.6040,-8.8425,-4.3261,9.974
5.0460,-1.4793,-8.7723,-4.5354,9.986
5.0500,-1.4714,-8.8500,-4.8693,10.208
5.0530,-1.3590,-8.8274,-5.0949,10.282
5.0540,-1.2075,-8.8605,-4.9888,10.240
5.0630,-0.9770,-8.8932,-4.9650,10.232
5.0700,-0.7654,-8.9757,-5.2029,10.403
5.0770,-0.7042,-9.0176,-5.5620,10.618
5.0900,-0.8778,-9.1227,-6.0126,10.961
5.0950,-1.2010,-9.1298,-6.3176,11.167
5.1070,-1.5097,-9.1498,-6.3525,11.241
5.1160,-1.7364,-9.1793,-6.1494,11.184
5.1250,-1.8565,-9.1920,-5.7293,10.989
5.1460,-1.6708,-9.0246,-5.1660,10.532
5.1770,-1.2622,-8.9467,-4.5413,10.112
