time,ax,ay,az,aT
33.4700,3.7326,-5.2817,0.8375,6.521
33.4780,3.7697,-5.5554,0.6451,6.745
33.5670,3.9366,-5.7556,0.5513,6.995
33.5690,4.0368,-5.9746,0.4632,7.225
33.5700,4.1471,-6.1572,0.3321,7.431
33.5710,4.1531,-6.3314,0.3543,7.580
33.5720,4.2176,-6.4716,0.4581,7.738
33.5730,4.2789,-6.5210,0.5623,7.820
33.5740,4.2655,-6.4927,0.6716,7.797
33.5750,4.1681,-6.5203,0.8423,7.784
33.5750,3.8323,-6.6686,0.6783,7.721
33.5820,3.6574,-6.8444,0.3163,7.767
33.5890,3.5958,-6.7084,0.0813,7.612
