time,ax,ay,az,aT
5.7250,-2.0523,-9.5070,-2.8817,10.144
5.7380,-2.2459,-8.9095,-1.9066,9.384
5.7780,-2.2855,-8.2648,-1.0549,8.640
5.7790,-2.1316,-7.6547,-0.4918,7.961
5.7810,-1.8902,-7.1698,0.1312,7.416
5.7820,-1.5344,-6.5731,0.5919,6.776
5.7840,-1.0704,-6.1049,0.9007,6.263
5.7950,-0.3874,-5.7140,0.8323,5.787
5.8030,0.2834,-5.4079,0.4723,5.436
5.8140,1.0170,-5.0445,-0.1862,5.149
5.8230,1.8739,-4.7248,-0.8293,5.150
5.8330,2.6127,-4.2365,-1.7501,5.276
5.8440,3.1671,-3.8075,-2.5007,5.548
5.8530,3.5200,-3.4827,-3.2598,5.928
5.8680,3.7822,-3.2409,-3.7457,6.232
5.8740,4.0558,-2.9411,-4.0607,6.449
5.8920,4.4238,-2.6200,-4.0349,6.536
5.8960,4.9167,-2.2381,-3.7434,6.572
5.9040,5.3731,-1.8218,-3.1554,6.492
5.9210,5.7591,-1.2513,-2.5276,6.413
5.9250,6.3749,-1.1259,-2.1072,6.808
5.9360,7.2407,-1.1093,-1.7202,7.525
5.9480,8.0134,-1.0514,-1.3502,8.194
5.9550,8.6272,-0.8206,-0.7683,8.700
5.9670,9.0694,-0.6845,-0.1394,9.096
5.9740,9.5721,-0.6424,0.3378,9.600
5.9850,9.7776,-0.4087,0.9027,9.828
5.9940,9.8555,0.0728,1.5357,9.975
6.0040,10.0889,0.7732,2.1306,10.340
6.0150,10.4582,1.2857,2.5657,10.845
6.0230,11.1352,1.8658,2.9988,11.682
6.0380,11.8705,2.3900,3.5251,12.611
6.0730,12.6466,2.9218,3.7868,13.521
6.0760,13.4970,3.1374,3.8567,14.384
6.0780,14.3292,2.9425,4.0399,15.176
6.0800,14.8647,2.7074,4.1393,15.666
6.0840,14.9803,2.7118,4.3005,15.820
6.0980,14.7429,2.7279,4.0495,15.530
6.1040,14.2198,2.7041,3.3197,14.850
6.1160,13.6750,2.8549,2.5910,14.208
6.1230,13.7156,2.8047,2.0078,14.143
6.1350,14.0552,2.6386,1.6575,14.396
6.1510,14.3249,2.4845,1.4191,14.608
6.1540,14.1580,2.3843,1.2884,14.415
6.1860,13.6138,2.0539,1.1936,13.820
6.1880,12.7833,1.7597,1.1770,12.957
6.2000,12.0454,1.2801,1.3045,12.183
6.2030,11.4549,0.7477,1.6356,11.595
6.2100,11.1391,-0.0679,2.1479,11.345
6.2170,11.0074,-1.0822,2.4840,11.336
6.2230,10.8359,-2.0180,2.7232,11.354
6.2330,10.4624,-2.9690,2.6478,11.193
6.2460,9.7326,-3.5109,2.1768,10.573
6.2530,8.9851,-3.9187,1.6308,9.937
6.2650,8.2019,-4.3484,1.0734,9.345
6.2730,7.3802,-4.9029,0.6636,8.885
6.2830,6.5183,-5.5933,0.6302,8.612
6.3010,5.5558,-6.1479,0.7046,8.316
6.3050,4.4707,-6.6750,0.9037,8.084
6.3340,3.4276,-7.1554,1.1271,8.014
6.3360,2.3832,-7.4684,1.1285,7.920
6.3380,1.3756,-7.4426,0.7781,7.609
6.3480,0.6810,-7.3617,0.3999,7.404
6.3550,0.2311,-7.4603,-0.2492,7.468
6.3650,0.0029,-7.7543,-0.9674,7.814
6.3740,-0.0235,-8.3049,-1.2317,8.396
6.3830,0.0032,-8.8810,-1.4167,8.993
6.3940,-0.2103,-9.4348,-1.5104,9.557
6.4030,-0.5608,-9.7046,-1.4401,9.827
6.4160,-0.9501,-9.7382,-1.2601,9.865
6.4230,-1.3660,-9.7820,-1.1701,9.946
6.4340,-1.6728,-9.7925,-1.0502,9.990
6.4760,-1.6959,-10.1701,-1.2176,10.382
6.4790,-1.7178,-10.7927,-1.6814,11.057
6.4820,-1.8645,-11.3702,-2.3688,11.763
6.4840,-2.0159,-11.7816,-3.1546,12.362
6.4880,-2.4250,-11.9677,-3.7897,12.785
6.5000,-3.1969,-11.9178,-4.1644,13.023
6.5300,-4.4931,-11.8039,-4.0563,13.266
6.5320,-5.8473,-11.6862,-3.4747,13.522
6.5340,-7.0908,-11.6491,-2.0814,13.795
6.5380,-8.5504,-11.7630,-0.5702,14.553
6.5490,-9.9377,-11.7501,0.8692,15.414
6.5540,-11.1004,-11.7205,1.7329,16.235
