time,gFx,gFy,gFz,TgF
0.746000,0.7996,0.0498,-0.2072,0.828
0.747000,0.8145,0.0403,-0.1923,0.838
0.747000,0.8409,0.0169,-0.1520,0.855
0.747000,0.8441,0.0144,-0.1307,0.854
0.748000,0.8414,0.0178,-0.1229,0.851
0.769000,0.8392,0.0352,-0.0843,0.844
0.769000,0.8732,0.0049,-0.0225,0.873
0.770000,0.9054,-0.0354,0.0064,0.906
0.770000,0.9748,-0.1187,0.0772,0.985
0.770000,0.9958,-0.1490,0.1505,1.018
0.771000,1.0063,-0.1532,0.2204,1.042
0.771000,1.0036,-0.1503,0.2463,1.044
0.772000,0.9924,-0.1412,0.2998,1.046
0.772000,0.9711,-0.1339,0.3345,1.036
0.787000,0.9589,-0.1275,0.3420,1.026
0.788000,0.9355,-0.1151,0.3337,1.000
0.788000,0.9303,-0.1160,0.3220,0.991
0.789000,0.9338,-0.1329,0.2981,0.989
0.789000,0.9294,-0.1481,0.2617,0.977
0.789000,0.9281,-0.1573,0.2414,0.972
0.790000,0.9159,-0.1652,0.1972,0.951
0.790000,0.9113,-0.1779,0.1600,0.942
0.790000,0.9084,-0.1793,0.1407,0.937
0.791000,0.8944,-0.1781,0.1060,0.918
0.791000,0.9010,-0.1884,0.0789,0.924
0.792000,0.8981,-0.1898,0.0608,0.920
0.792000,0.8939,-0.1820,0.0281,0.913
0.805000,0.8954,-0.1674,0.0037,0.911
0.806000,0.8947,-0.1527,-0.0137,0.908
0.807000,0.8893,-0.1451,-0.0151,0.901
0.807000,0.8800,-0.1402,-0.0137,0.891
0.807000,0.8661,-0.1329,-0.0195,0.876
0.808000,0.8470,-0.1258,-0.0369,0.857
0.808000,0.8483,-0.1339,-0.0484,0.860
0.809000,0.8436,-0.1368,-0.0557,0.856
0.809000,0.8258,-0.1351,-0.0730,0.840
0.810000,0.8114,-0.1314,-0.0948,0.827
0.812000,0.7962,-0.1231,-0.1070,0.813
0.815000,0.7730,-0.1119,-0.1170,0.790
0.816000,0.7583,-0.1075,-0.1270,0.776
0.818000,0.7466,-0.1016,-0.1310,0.765
0.820000,0.7146,-0.0843,-0.1373,0.733
0.822000,0.6254,-0.0039,-0.1246,0.638
0.829000,0.5482,0.0252,-0.1253,0.563
0.830000,0.5639,0.0161,-0.1109,0.575
0.830000,0.5927,-0.0088,-0.0985,0.601
0.831000,0.6010,-0.0257,-0.0965,0.609
0.834000,0.6101,-0.0745,-0.0836,0.620
0.835000,0.6325,-0.1187,-0.0550,0.646
0.838000,0.6538,-0.1361,-0.0264,0.668
0.839000,0.7051,-0.1610,0.0403,0.724
0.842000,0.7554,-0.1764,0.1148,0.784
0.844000,0.7784,-0.1840,0.1493,0.814
0.844000,0.8255,-0.1964,0.2035,0.873
0.848000,0.8654,-0.2003,0.2328,0.918
0.850000,0.8727,-0.1903,0.2394,0.925
0.851000,0.8590,-0.1339,0.2431,0.903
0.852000,0.8512,-0.0862,0.2299,0.886
0.855000,0.8419,-0.0630,0.2204,0.873
0.859000,0.8480,-0.0257,0.2174,0.876
0.859000,0.8720,0.0078,0.2196,0.899
0.864000,0.8869,0.0215,0.2226,0.915
0.864000,0.9220,0.0447,0.2331,0.952
0.865000,0.9665,0.0579,0.2475,0.999
0.868000,0.9856,0.0665,0.2534,1.020
0.868000,1.0190,0.0848,0.2665,1.057
0.871000,1.0579,0.0972,0.2746,1.097
0.873000,1.0752,0.1041,0.2783,1.116
0.876000,1.1014,0.1148,0.2817,1.143
0.882000,1.1370,0.1070,0.2805,1.176
0.883000,1.1527,0.1009,0.2839,1.191
0.883000,1.1744,0.0865,0.2939,1.214
0.884000,1.1881,0.0711,0.3029,1.228
0.885000,1.1932,0.0542,0.3071,1.233
0.886000,1.1908,0.0476,0.3093,1.231
0.889000,1.1810,0.0347,0.3166,1.223
0.896000,1.1805,0.0235,0.3208,1.224
0.898000,1.1642,0.0010,0.3191,1.207
0.899000,1.1502,-0.0322,0.3132,1.193
0.900000,1.1373,-0.0467,0.3042,1.178
0.901000,1.1131,-0.0816,0.2753,1.150
0.902000,1.0804,-0.1187,0.2277,1.110
0.903000,1.0730,-0.1446,0.1950,1.100
0.904000,1.0596,-0.1957,0.1263,1.085
0.906000,1.0420,-0.2385,0.0452,1.070
0.909000,1.0349,-0.2629,0.0059,1.068
0.910000,1.0134,-0.3059,-0.0836,1.062
0.912000,0.9929,-0.3416,-0.1796,1.065
0.915000,0.9782,-0.3587,-0.2267,1.066
0.916000,0.9394,-0.3863,-0.3066,1.061
0.918000,0.9191,-0.4141,-0.3616,1.071
0.920000,0.9257,-0.4317,-0.3750,1.088
0.922000,0.9504,-0.4769,-0.3782,1.129
0.926000,0.9699,-0.5287,-0.3484,1.158
0.928000,0.9834,-0.5504,-0.3254,1.173
0.930000,1.0095,-0.5842,-0.2531,1.193
0.931000,1.0464,-0.6206,-0.1608,1.227
0.934000,1.0730,-0.6391,-0.1148,1.254
0.936000,1.1256,-0.6782,-0.0318,1.314
0.937000,1.1634,-0.7088,0.0494,1.363
0.939000,1.1830,-0.7227,0.0840,1.389
0.942000,1.2189,-0.7393,0.1302,1.431
0.944000,1.2260,-0.7378,0.1544,1.439
0.945000,1.2223,-0.7246,0.1708,1.431
0.946000,1.2106,-0.7039,0.1757,1.411
0.950000,1.1881,-0.6562,0.1928,1.371
0.952000,1.1891,-0.6479,0.2016,1.369
0.957000,1.1930,-0.6482,0.1959,1.372
0.957000,1.2123,-0.6618,0.1825,1.393
0.958000,1.2152,-0.6680,0.1703,1.397
0.960000,1.1871,-0.6521,0.1327,1.361
0.961000,1.1390,-0.6235,0.0989,1.302
0.964000,1.1234,-0.6147,0.0836,1.283
0.966000,1.0867,-0.5912,0.0506,1.238
0.967000,1.0452,-0.5631,0.0330,1.188
0.968000,1.0173,-0.5463,0.0232,1.155
0.970000,0.9638,-0.5182,0.0139,1.094
0.973000,0.9106,-0.4982,-0.0051,1.038
0.979000,0.8900,-0.4916,-0.0107,1.017
0.981000,0.8563,-0.4835,-0.0213,0.984
0.982000,0.8302,-0.4842,-0.0244,0.961
0.983000,0.8180,-0.4837,-0.0281,0.951
0.984000,0.7926,-0.4835,-0.0335,0.929
0.986000,0.7696,-0.4881,-0.0354,0.912
0.987000,0.7615,-0.4933,-0.0357,0.908
0.991000,0.7395,-0.5018,-0.0362,0.894
0.992000,0.7141,-0.5050,-0.0252,0.875
0.993000,0.7004,-0.5089,-0.0215,0.866
0.995000,0.6787,-0.5138,-0.0115,0.851
0.997000,0.6606,-0.5285,0.0032,0.846
1.000000,0.6552,-0.5348,0.0129,0.846
1.001000,0.6320,-0.5429,0.0264,0.834
1.003000,0.6020,-0.5500,0.0386,0.816
1.006000,0.5807,-0.5573,0.0530,0.807
1.011000,0.5717,-0.5622,0.0567,0.804
1.012000,0.5595,-0.5705,0.0679,0.802
1.012000,0.5551,-0.5754,0.0728,0.803
1.013000,0.5512,-0.5876,0.0816,0.810
1.014000,0.5443,-0.5927,0.0933,0.810
1.016000,0.5438,-0.5959,0.0999,0.813
1.018000,0.5514,-0.6083,0.1121,0.829
1.020000,0.5702,-0.6206,0.1241,0.852
1.022000,0.5788,-0.6269,0.1295,0.863
1.024000,0.5903,-0.6416,0.1361,0.882
1.027000,0.6115,-0.6521,0.1368,0.904
1.029000,0.6154,-0.6509,0.1353,0.906
1.031000,0.6301,-0.6528,0.1336,0.917
1.033000,0.6631,-0.6105,0.1268,0.910
1.036000,0.6721,-0.5908,0.1214,0.903
1.036000,0.6794,-0.5788,0.1073,0.899
1.042000,0.6902,-0.5876,0.0921,0.911
1.045000,0.6978,-0.5900,0.0840,0.918
1.048000,0.7070,-0.5937,0.0694,0.926
1.049000,0.7085,-0.5966,0.0557,0.928
1.049000,0.7110,-0.5986,0.0481,0.931
1.050000,0.7063,-0.5917,0.0413,0.922
1.051000,0.7127,-0.6003,0.0364,0.932
1.053000,0.7175,-0.6069,0.0283,0.940
1.055000,0.7251,-0.6184,0.0147,0.953
1.058000,0.7229,-0.6208,0.0105,0.953
1.062000,0.7273,-0.6198,0.0120,0.956
1.062000,0.7378,-0.6101,0.0076,0.957
1.063000,0.7403,-0.6017,-0.0066,0.954
1.067000,0.7439,-0.5925,-0.0232,0.951
1.068000,0.7420,-0.5839,-0.0354,0.945
1.069000,0.7332,-0.5668,-0.0623,0.929
1.070000,0.7283,-0.5573,-0.0740,0.920
1.072000,0.7249,-0.5434,-0.0997,0.911
1.077000,0.7095,-0.5221,-0.1305,0.890
1.077000,0.6975,-0.5109,-0.1488,0.877
1.078000,0.6736,-0.4982,-0.1918,0.859
1.080000,0.6587,-0.4920,-0.2411,0.857
1.082000,0.6509,-0.4891,-0.2697,0.858
1.084000,0.6267,-0.4840,-0.3232,0.855
1.086000,0.6020,-0.4886,-0.3797,0.863
1.088000,0.5944,-0.4996,-0.4139,0.880
1.091000,0.5798,-0.5265,-0.4752,0.916
1.094000,0.5673,-0.5399,-0.5170,0.938
1.095000,0.5666,-0.5695,-0.5277,0.961
1.096000,0.5729,-0.6059,-0.5314,0.989
1.099000,0.5878,-0.6276,-0.5143,1.002
1.100000,0.5934,-0.6640,-0.4962,1.019
1.103000,0.6017,-0.7019,-0.4510,1.029
1.104000,0.6071,-0.7430,-0.4009,1.040
1.108000,0.6113,-0.7620,-0.3758,1.047
1.113000,0.6276,-0.7908,-0.3198,1.059
1.114000,0.6455,-0.8055,-0.2619,1.065
1.114000,0.6550,-0.8255,-0.2336,1.079
1.115000,0.6699,-0.8304,-0.1847,1.083
1.118000,0.6789,-0.8282,-0.1353,1.079
