time,gFx,gFy,gFz,TgF
0.649000,-0.6760,-0.6653,0.2873,0.991
0.652000,-0.6811,-0.6653,0.2866,0.994
0.655000,-0.6838,-0.6670,0.2868,0.997
0.656000,-0.6838,-0.6692,0.2871,0.999
0.657000,-0.6807,-0.6724,0.2876,0.999
0.659000,-0.6758,-0.6772,0.2924,1.000
0.661000,-0.6726,-0.6811,0.2966,1.002
0.663000,-0.6658,-0.6897,0.3000,1.004
0.665000,-0.6577,-0.6946,0.3044,1.004
0.675000,-0.6523,-0.6970,0.3066,1.003
0.676000,-0.6445,-0.7031,0.3093,1.003
0.676000,-0.6408,-0.7046,0.3091,1.001
0.677000,-0.6406,-0.7046,0.3086,1.001
0.677000,-0.6403,-0.7041,0.3069,1.000
0.677000,-0.6386,-0.7022,0.3005,0.996
0.679000,-0.6386,-0.6982,0.2981,0.992
0.681000,-0.6374,-0.6914,0.2876,0.983
0.683000,-0.6345,-0.6895,0.2753,0.977
0.688000,-0.6340,-0.6875,0.2712,0.974
0.689000,-0.6335,-0.6855,0.2636,0.970
0.689000,-0.6337,-0.6853,0.2639,0.970
0.691000,-0.6355,-0.6860,0.2651,0.972
0.693000,-0.6391,-0.6885,0.2675,0.977
0.695000,-0.6413,-0.6914,0.2744,0.982
0.697000,-0.6430,-0.6919,0.2775,0.985
0.699000,-0.6472,-0.6975,0.2819,0.992
0.705000,-0.6491,-0.6997,0.2866,0.997
0.705000,-0.6516,-0.7022,0.2878,1.000
0.706000,-0.6562,-0.7048,0.2895,1.006
0.707000,-0.6584,-0.7073,0.2880,1.008
0.710000,-0.6589,-0.7083,0.2893,1.010
0.711000,-0.6606,-0.7114,0.2905,1.013
0.713000,-0.6609,-0.7144,0.2888,1.015
0.715000,-0.6609,-0.7141,0.2885,1.015
0.722000,-0.6621,-0.7139,0.2880,1.015
0.723000,-0.6604,-0.7139,0.2880,1.014
0.723000,-0.6596,-0.7127,0.2876,1.013
0.724000,-0.6579,-0.7114,0.2917,1.012
0.725000,-0.6567,-0.7088,0.2932,1.010
0.727000,-0.6567,-0.7066,0.2959,1.009
0.729000,-0.6562,-0.7034,0.3025,1.008
0.730000,-0.6550,-0.6978,0.3078,1.005
0.733000,-0.6560,-0.6960,0.3115,1.006
0.736000,-0.6579,-0.6919,0.3186,1.007
0.744000,-0.6574,-0.6899,0.3220,1.006
0.745000,-0.6565,-0.6892,0.3230,1.005
0.745000,-0.6533,-0.6882,0.3266,1.004
0.745000,-0.6506,-0.6860,0.3279,1.001
0.746000,-0.6487,-0.6863,0.3269,0.999
0.747000,-0.6430,-0.6885,0.3222,0.996
0.749000,-0.6421,-0.6902,0.3210,0.996
0.752000,-0.6396,-0.6921,0.3210,0.996
0.753000,-0.6396,-0.6958,0.3227,0.999
0.761000,-0.6394,-0.6990,0.3259,1.002
0.763000,-0.6399,-0.7026,0.3281,1.005
0.764000,-0.6421,-0.7080,0.3332,1.012
0.765000,-0.6423,-0.7119,0.3369,1.016
0.766000,-0.6438,-0.7146,0.3362,1.019
0.766000,-0.6450,-0.7210,0.3350,1.024
0.767000,-0.6423,-0.7276,0.3310,1.025
0.769000,-0.6403,-0.7305,0.3288,1.026
0.771000,-0.6399,-0.7376,0.3249,1.029
0.776000,-0.6399,-0.7459,0.3242,1.035
0.777000,-0.6403,-0.7491,0.3249,1.038
0.778000,-0.6377,-0.7544,0.3244,1.040
0.779000,-0.6372,-0.7586,0.3235,1.042
0.781000,-0.6372,-0.7608,0.3235,1.044
0.784000,-0.6362,-0.7613,0.3235,1.044
0.792000,-0.6335,-0.7613,0.3232,1.042
0.794000,-0.6325,-0.7613,0.3222,1.041
0.795000,-0.6298,-0.7615,0.3205,1.039
0.796000,-0.6301,-0.7562,0.3164,1.034
0.797000,-0.6306,-0.7540,0.3122,1.031
0.797000,-0.6308,-0.7496,0.3083,1.027
0.798000,-0.6294,-0.7442,0.3044,1.021
0.799000,-0.6291,-0.7422,0.3022,1.019
0.805000,-0.6289,-0.7373,0.2998,1.014
0.807000,-0.6281,-0.7320,0.2949,1.009
